text	label
well , he's done a good job .	1
big john feels the love that dares not speak its name , but he expresses it through seeking out adolescents and bringing them back to his pad .	0
not that any of us asked or ever even thought about seeing this 200+ pound woman in a black silk teddy .	0
for me , its not the movie as a whole that's enjoyable , but rather several individual scenes : a karaoke jam at steven's apartment , a medieval fight at a theme restaurant , and a bathroom beating ( a la liar , liar ) , just to name a few .	1
after bloody clashes and independence won , lumumba refused to pander to the belgians , who continued a condescending and paternalistic relationship with the congo .	1
some of the more ludicrous moments come when it's alluded to that people like jimmy carter and henry kissinger may actually be the antichrist ( ! ) .	0
i want the audience squirming in their seats . "	0
after watching " rat race " last week , i noticed my cheeks were sore and realized that , when not laughing aloud , i had held a grin for virtually all of the film's 112 minutes .	1
usually playing a bit role in some studio schlock ( he dies halfway through the long kiss goodnight ) , he's only occasionally given something meaty and substantial to do .	0
yelchin is very good as bobby , finding a good mix of innocence and resignation .	1
going for the gore and bringing on a few action sequences here and there , virus still feels very empty , like a movie going for all flash and no substance .	0
what's the result of tying so many plot points and characters to future films ?	1
we have come to expect this from billy baldwin , but it might have been nice to have learned something about their characters first .	0
wynn , who thinks he is in league with the double-dealing clown , recognizes spawn as a threat and undergoes an operation where a bomb is placed on his heart -- when it stops beating , major cities around the world will detonate , causing the leak of a disease that " makes the ebola virus look like a skin rash . "	0
he does provide some explanations such as that dr . schreber is an assistant to `the strangers' because he somehow could synthesize memory into chemical form .	1
now i'm not sure if this was ms . suvari's fault or the director's , but i've definitely seen her at a much higher level than in this film .	0
as a child , she witnessed a group of poachers murder her mother ; now , she lives in the jungle to protect the wildlife .	0
and for some inexplicable reason , everyone's voice seems to have been dubbed .	0
jay underwood , as the stalker , turns toward melodrama a bit too much .	0
one that not only presented a great challenge to the filmmakers but one that can be enjoyed by the whole family ( although some very young viewers may be a little scared by judge doom ) .	1
it's almost as if the writer were angry at us for shelling out money to see his stupid movie .	0
even foreign films are taking that advice to heart .	0
finally , nick shaffer ( breckin meyer ) is a no-nonsense lawyer-in-training who recruits helicopter pilot tracy faucet ( amy smart ) for the journey .	1
smith is perfect for his role as he adds some valuable comic relief to the film .	1
what's the deal ?	0
 " you're not the reason i couldn't care less about you . "	0
movie sucks .	0
the whole episode places an incredible strain on the audience's suspension of disbelief and questions the validity of either character's intelligence .	0
the other performances are all terrific , with standouts from furlong , d'angelo , and lien .	1
bordering of parody , shaw plays quint as a grizzled old loner whose machismo borders on masochism .	1
however , where the film errs is by not playing up the idea of memory versus the human heart as to what makes a person who he or she is .	1
mostly it's laughable .	1
 " blair witch project " had a story which was incredibly simple .	1
despite skarsg ? rd's solid performance as tomas , his pathetic drunk is never given much of a chance to emote anything besides catatonic sorrow .	0
another thing that carries this film are the superb performances by gibson and sinise , as they collide in a game of wits over their cellular phones for most of the movie .	1
the four members were the only ones willing to go against capone's army .	1
call it a road trip for the walking wounded .	0
that's not to say that you won't like this film if you don't like the music , but the music and live performances from the band , play a big part in the movie , and i for one , had a blast watching and listening to it all .	1
with the one time british colony reverting back to mainland ownership , a lot of hong kong's best talents have crossed the pacific to work on u . s . productions .	0
not just adam sandler-annoying , we're talking jim carrey-annoying .	0
the differences in the way their characters were presented is significant .	0
where's joblo coming from ?	0
i wonder if disney uses the revenues for it's generally money-making cartoons to produce these losers .	0
the most significant tension of _election_ is the potential relationship between a teacher and his student .	1
in gridlock'd , an oddly effective combination of gritty drama and social satire , shakur and his co-star tim roth take sketchy characters and make them exciting to watch through the pure energy of their talent and chemistry .	1
now i personally don't mind trying to unravel a film every now and then , but when all it does is give me the same clue over and over again , i get kind of fed up after a while , which is this film's biggest problem .	0
in a way , this is a typical hollywood sequel .	1
it happens in every romance : the man and woman have to meet each other for the first time in some unconventional , cinematic way .	0
the only element that remains constant and similar between the two films is the solid acting ( jeffrey donovan and tristine skyler should be mentioned ) and incredible sense of surrealism .	1
her reaction was understandable when you consider that the film revolves around molly ringwald , who hasn't made a worthwhile film since 1986 .	1
in certain circles , " snake eyes " was being advertised as a kind of modern day version of kurosawa's classic " rashomon , " where a crime is told from the four different ( and i mean different ) perspectives , and it looks as though it may actually be just like this with the opening , which , i might add , is superb .	0
the digitalized backgrounds on some of the planets are an astonishing sight .	1
it's not that complicated plots can't be entertaining .	0
scorsese managed to create a vision which is effective and complete despite being full of contradictions that would ripped the film apart in the hands of less talented filmmaker .	1
you also may have heard that this one's too kiddie-friendly , and doesn't have enough content for adults .	1
is " 8mm " something you really want to see ?	0
as the screws tighten , and the tensions mount , alexander payne decides to add elements that , frankly , distract from the story .	1
of course it helps if you have interesting characters , crisp dialogue , and a modicum of style .	0
the only other recent challenger to their throne was last fall's promising , if flawed , 20th century fox production " anastasia , " but disney's " hercules , " with its lively cast and colorful palate , had her beat hands-down when it came time to crown 1997's best piece of animation .	0
the son'a , who are horribly disfigured and rely on daily reconstructive surgery to be aesthetically acceptable , strike a deal with the federation to move the ba'ku elsewhere and exploit the secret to keep their race from dying .	1
it doesn't much matter and believe me by the time " shattered image " runs its painful and pedestrian course you won't care .	0
it's astonishing how frightening norton looks with a shaved head and a swastika on his chest .	1
the guy was brilliant in " to wong foo , thanks for everything !	0
here there's nothing . . .	0
and every now and again , as " shattered image " makes agonizingly clear , it isn't .	0
in the end this film defines itself when our cop's tribunal pronounces , " is that all you have to tell us ? "	0
unlike so many modern filmmakers , he has a great deal of restraint , and refuses to show us the shark until the middle of the second act .	1
information on the characters is literally spoon-fed to the audience ( would it be that hard to show us instead of telling us ? ) , dialogue is poorly written , and the plot is extremely predictable .	0
what i got was 90 minutes of regret--the worst alicia silverstone movie ever .	0
the sad part is that the arrow and i both dig on flicks like this , so we actually figured most of it out by the half-way point , so all of the strangeness after that did start to make a little bit of sense , but it still didn't the make the film all that more entertaining .	0
so , in an effort to save joe , jill and gregg take the big gorilla to a preserve , where it is instantly clear that he is not safe from poachers .	0
the opening sequence , contrived quite a bit , brings daryl and brooke ( the victim ) together .	0
i think that people who find this film offensive will just be blindsided by the honesty of the story . ?	1
sure , affleck deserved a big moment ( damon steals their scenes together prior ) , but it ultimately makes the film and us feel bloated .	1
the film ends with the attempted robbery of the hospital's pills with panic ensuing .	1
original enterprise captain james t . kirk appears on both ends of the story , though they cut the scene where shatner turns to the screen to plead " get a life . "	1
there's a lot to like in _election_ , but the plot similarities to _rushmore_ , and the tonal nosedive it takes as it gets explicitly sex-driven , mark this as a disappointment .	1
the abstract concept on which the film is based had merit , to dissect love into the following four categories : meeting , physical passion , quarrels , and reconciliation .	0
unfortunately , it is a very weak bond for the reasons listed below .	0
when daryl returns , he enters the house , of course , so our heroine is in danger .	0
characters die , heads are lopped off , but they were only supporting roles anyway , so why should we care ?	0
when a new year's eve party ends with cookie comatose after a drug overdose , spoon and stretch begin to wonder if they are living on borrowed time .	1
the first movie was extraordinarily entertaining for those ( like myself ) who are fans of the game .	0
together , anne parillaud and william baldwin conspire to make " shattered image " the biggest piece of hooey since the stallone/stone " thriller " " the specialist . "	0
julie newmar . "	0
we're still here .	0
in hollywood's rush to emulate the success of the matrix , trademark asian stunt choreography has become more of a joke than an art form .	1
brooke ( d'abo ) needs to be ditzy , however , for the plot to proceed .	0
it is this circumstance which forms the basis for f . gary gray's the negotiator .	1
it had a lot going for it , but somewhere along the way , it faltered .	1
gruffudd is cute and harmless , perhaps , but evans can't even aspire to that .	0
it's worse than that .	0
motaro and sheeva are both more convincing and lifelike than goro was in the first movie .	0
his no-frills visual style hasn't changed much over the years , though ( dogma's widescreen compositions at least have blockbuster affectations ) , nor has his writing-his characters still sit around delivering one caustic , hilarious speech after another .	1
at least none of the sex fanatasies ever leave the realm of the pg-rated .	0
the premise to this film is not unlike that game , only this time we don't have control over the protagonist .	1
there are good performances by hattie jacques as the matron , however her character seems a little more subdued and quieter than her previous 'matron's' .	1
now say it together , gang : " all for one , and one for all . . . we	0
but my daughter really wanted to go , and how bad could it be ?	0
daryl obsesses over brooke , follows her around , and tries to woo her .	0
although i will preface this by saying that one thing that would definitely enhance your appreciation for this film is your own love ( or past love ) of heavy metal music and the whole scene around it .	1
the irony , of course , is that schumacher and " seven " scribe andrew kevin walker's vision of life in the snuff lane is limited by what they can show in an r-rated , first-run hollywood product .	0
he plays a young man named derek vinyard , a skinhead living in venice beach with his brother , danny ( edward furlong ) , mother ( beverly d'angelo ) , and sister , davin ( jennifer lien ) .	1
andy garcia does a wonderful job as george stone , a young man who is just becoming a police officer .	1
two things keep " john carpenter's ghosts of mars " from getting a huge slap upside the head .	0
liotta , on the other hand , improves general impression by very realistic and menacing portrayal of drug addiction .	1
apparently , the studio took this film away from its director and chopped it up themselves , and it shows .	0
adrien grenier is her grungy neighbor who's just broken up with his activist girlfriend .	0
after losing a patient on the surgery table , these questions envelope maggie , and seth , the angel who was there to oversee the patient's transition into the afterlife , is immediately captivated by the doctor .	1
since twist endings are currently so in vogue , and seeing as how kruger's screenplays usually come equipped with about three twists per ending , i guess it's no wonder why he works so frequently .	0
the road to wellville =====================	1
the cast is earnest , but the direction lacks punch .	1
from there , director steven spielberg wastes no time , taking us into the water on a midnight swim with a beautiful girl that turns deadly .	1
her comment is that it was seeing the same film twice .	0
star trek : insurrection is no exception .	1
turns out i was right , mostly .	0
the film has been directed in the style of some strange film experiment gone horribly wrong .	0
he breaks things on accident , because he's just too big to avoid clumsiness .	0
in those moments , and in others , iron monkey manages to transcend its mindless kung fu nature to touch the hearts and minds of its audience .	1
the late great planet earth is available on dvd from vci home video .	0
however , mcgregor does struggle manfully to infuse this surprisingly small supporting role with a spark of genuine insight and humanity , and he does a good job .	1
sonya does her " kiss of death , " jax does his " earthquake , " liu kang does his " animality , " and so on .	0
and with it comes every single clich ? .	0
dormant martians ( i . e . , swirling red gases ) awakened by meddling humans possess the souls of hapless mining colonists rendering them testy marilyn manson lookalikes .	0
the former he can do with ease and often the actor coasts on his lackadaisical charm while those around him growl and swear .	0
just go see the movie .	1
the angels are interestingly presented , all of them dressed in black and more reminiscent of hitmen than traditional glowing white entities , but it's a nice touch that never seems like a mere attempt at uniqueness .	1
the happy bastard's quick movie review	0
much of the film is completely absurd , but that's the fun part about it . ?	1
then comes the setup .	1
still , i found the cable guy to be a worthwhile venture ; if you're at the video store and can't think of anything to rent , i suggest you try it out .	1
when the two families meet and mingle , the movie becomes a story of culture clash , or as one character puts it , " money versus values . "	1
its pounding drum beats act as a rhythm for the actors .	1
she just sort of popped up halfway through without an explanation as to why she was there .	0
how about giving us different scenes offering further insight into all of the strangeness going down in the movie ?	0
this is appropriate considering that miramax ( which used to place their label on some of the most artistically daring films ) has quickly become a grindhouse for coddling foreign imports ( life is beautiful ) and freddie prinze jr . vehicles .	0
but i give fair warning that i will reveal the ending , which does not do the rest of the film the justice it deserves .	1
the most respectable among them is robert de niro , but his character , who happen to be most quiet and business-like member of criminal trio , gets overshadowed by two of his friends and colleagues .	1
the fact that capone is evil is very apparent from the first few scenes .	1
john carpenter reprises so many ideas from his previous films , especially assault on precinct 13 , that the new film comes off as his homage to himself .	0
carrey , as the cable guy , gives steven various aliases , which later we find out are all tv characters : larry tate , chip douglas , ricky ricardo , etc . he apparently lives in his cable van , and while many critics didn't enjoy this newer , darker , less-manic performance from carrey , i thought it was interesting and rather well-done .	1
didn't they read the bad dialogue , the cheezy lines , the obvious derivative nature of the work ( mind you , with a director like depalma at the helm , that ain't saying much ! ) .	0
star trek generations =====================	1
it's worthwhile to compare aberdeen to an earlier film released in 2001 , jonathan nossiter's captivating signs & wonders .	0
the opening scenes--the documentary showing the townspeople affected by the first film-- is a more promising approach , because instead of trying to cover similar ground , it goes outside the first film and makes its own stand .	1
less successful is davis , whose strident elizabeth comes across as overly cartoonish .	1
after all , he was a founding member of the highly influential french new wave .	0
this dude has maybe two lines in the entire movie , but he establishes his presence through his amazing moves with his double-sided lightsaber , and his scary facial makeup .	1
one might expect a cathartic viewing experience walking into a new jean-luc godard film .	0
that's when captain picard ( patrick stewart ) steps in : he realizes that moving the ba'ku would kill them ( it also helps that he falls in love with a ba'ku woman ( donna murphy ) ) .	1
 " what does this scene do ?	0
 " it's your first summer here , you know , " mayor vaughn warns him .	1
is it about a wholesome surveillance man who loses sight of his values after becoming enmeshed in the seedy , sleazy underworld of hardcore pornography ?	0
also included are brief bios on orson welles and hal lindsey , as well as a trailer for another recent vci home video release , chariots of the gods .	0
 * in the fights , each of the characters does at least * one * thing they do in the game ( and often more ) .	0
bad .	0
taking even adolescent hormone surges into account , surely this chicken-bashing bit is a bit excessive , especially for prim puritan sensibilities ?	0
angels , who we quickly learn are not and never were humans , can not experience human sensations such as taste and touch , but they do have the ability to make themselves seen to anyone they desire .	1
also , the ending , while having you fooled for a moment , is rather contrived , and somewhat dissapointing .	1
in the matchmaker , it happens when garofalo walks into her hotel bathroom and finds a nude sean ( david o'hara ) in the bathtub , his dog sitting at his side .	0
the variety of music , as well as the beautifully shot performances , are easy to become immersed in .	1
what better way than by sacrificing a few minor characters to a convenient nuclear detonation , killing anything the machine guns can't handle .	0
but where's the zaniness ?	0
j . t . walsh , as the suspicious internal affairs inspector , clocks in with one of his final performances .	1
with friends like that , spoon doesn't need enemies , and shakur looks at stretch with the tired eyes of a man who has seen too much .	1
of course in these situations , quantity is more important than quality and profit is more important than the artistical values .	1
it doesn't really matter that the film is based on a television show , as most of the plot elements have been recycled from everything we've already seen .	0
the movie also has bad dialogue .	0
what should be nothing more than a one-joke premise actually gets better as it goes along .	1
 " hearts " is a tribute to the magic of childhood , to those summers when the days seem neverending , and nothing means more than your closest friends .	1
the teen comedy resurgence of late has been surprisingly good in terms of comedy .	0
savvy holiday goers should skip " 102 dalmatians " and pop the original 1961 animated classic into * their * vcrs instead .	0
sometimes they're not .	1
and obi-wan , although mcgregor makes him very endearing , has so little screen time that he's nothing but a robin to qui-gon jinn's batman .	1
jackson , while a superb actor , is miscast in the role of roman .	1
and the aforementioned flooded city - what function does that _really_ serve ?	0
the play describes the film's opening scene during tense exchanges that makes one wonder about the veracity of both accusation and reply , and this adds to the play's charged atmosphere .	0
despite an american 'r' rating ( which the content does not justify ) , the film is way too juvenile for the older mindset .	0
thrown together , it becomes clear that both women share a fierce competitive nature .	1
their proliferation may be due in part to the fact that they're typically inexpensive to produce ( no special effects , no big name stars ) and serve as vehicles to flash nudity ( allowing them to frequent late-night cable television ) .	0
what really happened , this film asks , and it sets this film up extremely well for when rick begins to question people and get different perspectives on the scene . . . and	0
you've got mail works alot better than it deserves to .	1
all in all , monterey pop is a precious , rare look at a time period that still holds sway over us .	1
pennebaker ( the war room , moon over broadway ) surprisingly chooses to show a broad spectrum of the audience .	1
in the movies , you end up with films like " spawn " , with a huge special-effects budget but not enough money to hire any recognizable actors .	1
he , in addition to the rest of the human cast , finds the right note to play in all of the scenes with his cartoon co-stars .	1
it's almost depressing to think that music this moving doesn't get made much anymore .	1
quick cuts , cool music , claire dane's nice hair and cute outfits , car chases , stuff blowing up , and the like .	0
i think it's important for the man behind the music to recognize that this film isn't a " real epic " by any stretch of the imagination .	0
at first i thought it was done by the same people , but imdb informs me that ig was directed by david kellogg and written by dana olsen and kerry ehrin , where mfm was directed by donald petrie and written by sherri stoner and deanna oliver .	0
in case i haven't yet made it clear enough , " knock off " is the worst movie of van damme's career and possibly the worst movie of the decade .	0
the prerelease ballyhoo is in the tradition of the last temptation of christ's , martin scorsese's 1988 adaptation of nikos kazantzakis' controversial novel , in that it is not directly linked to the picture's content but to rumours and heresy .	1
although most of the scenes were quite predictable , ransom is a very entertaining and suspenseful film .	1
this makes him much more complex than the usual child molesters seen in movies -- he's a beast , but ashamed of it . )	0
 " in the heat of the night " was the first and the best of the three films norman jewison directed concerning racism in america .	1
these four universal truths would be revealed through three different couples : young , adult , and elderly .	0
even * planets * make foreshadowing guest appearances in this film - tatooine ( the desert world where luke grew up ) , coruscant ( the cloud city from " empire strikes back " ) , and alderaan ( leia's home planet - which we never actually see - that gets blown up in " star wars " ) show up or are mentioned briefly in passing .	1
instead of facing hoodlums with automatic weapons the police face , well , ghosts of mars .	0
you're more likely to get a kick out of her work in halloween h20 .	0
but they're menu screens . . .	0
there weren't even nine laughs in nine months .	0
there are a few clever moments ( although none of them are surfacing in my memory at the moment ) , and , as i said , the digital effects held my attention for at least five minutes .	0
reindeer games is easily the worst of the three recent films penned by ehren kruger ( scream 3 and arlington rd are the others , each derivative in their own special way ) .	0
he also absolutely nails alec guiness' ( obi-wan in episode 4 - 6 ) scottish accent , and that really makes his presence in the film more profound than it might have been otherwise .	1
he also invented the cornflake .	1
what if he's also able to think on his feet ?	1
seconds later , the car drives off at full speed .	0
this opening scene alone goes a long way to define the setting of the film and its bizarre , horrific tone .	1
the wedding is just a device to bring together the bride's working-class , italian family and the groom's rich , gentile family .	1
that's where some outside intereference brings the film to a sudden conclusion and makes everything okay .	0
two months later , he was ousted from his powerful position and hunted by government troops until he was captured and brutally murdered along with two aides .	1
occasionally , a little flickering sound whirs in his head like sprockets winding through a film projector , reminding him of his unpleasant task .	0
 ?	1
but the fact is , betsy's wedding is also an alan alda film .	1
 ? suddenly , in the short span of this weekend , bulworth's no-nonsense " truth in politics " methods become a national sensation , and he shoots ahead in the polls despite the fact that he's appearing on television wearing gang clothes and spewing more profanity than coherent sentences .	1
ebouaney is dynamic , radiating his character's fierce passion for his people and his country .	1
tracy flick ( _election_ ) is the president of an extraordinary number of clubs , and is involved with the school play .	1
this paves the way for every possible pregnancy/child birth gag in the book , especially since grant's equally annoying friend's wife is also pregnant .	0
but as foreseeable as the ending is , it's so damn cute and well-done that i doubt any movie in the entire year contains a scene the evokes as much pure joy as this part does .	1
milo o'shea ( who looks like an irish tom snyder ) is the matchmaker who pops onscreen occasionally to spew his words of wisdom and bring lonely souls together .	0
wasn't the whole point of the road trip to show that these two are friends who could never hurt each other ?	0
always has ( " halloween , " " escape from new york , " " the thing " ) and , by the looks of it ( " they live , " " escape from l . a . , " " vampires " ) , always will .	0
the aliens , which look like very old bald human men with pasty skin , also possess the power en masse and use it to change the city every night at midnight .	1
i like that in a woman . "	0
i generally like it when actors are cast against type ( tim " tiny " lister , jr . being cast as the president of the u . s . in the fifth element , for example ) , and remar has always been one of my favorite " utility " actors but he's so totally wrong for this part that he doesn't even have the luxury of amused self-awareness .	0
it's a disclaimer unlikely to put protestors at ease , for to read it , one actually has to see dogma .	1
though it's an action film , the ending is more a talkfest where we get the whole movie explained to us by one flustered character actor after another while affleck looks on , incredulous as the audience .	0
this tumultuous and little known period of modern african history saw a score of nations struggling for independence from the sometimes-odious colonialists who have ruled much of the world from their european seats of power for centuries .	1
okay , first of all , the story is just plain boring .	0
though intriguing on all fronts , the film is paced at half the speed of pulp fiction , which avary co-wrote with quentin tarantino .	1
the story is so simple my grandmother could have adapted the screenplay .	0
the scrumptious comic acting , however , extends well beyond sheedy and lapaglia .	1
until then , he merely suggests its presence with creepy , subjective underwater shots and williams' music .	1
don cheadle has a good role as a drug dealer who uses gun-toting toddlers to do his dirty work . ?	1
also no points for guessing garofalo hates o'hara on sight .	0
ironically , this is what made his first film `the crow' work so well , which had a similar theme of struggling to find hope and the human spirit within a nearly identical , dark twisted world .	1
he appears to have some fun with the film , especially as the evil gadget .	0
getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in , well , anything , but riddle me this : who better to direct a film that's set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society ?	1
i like that the film doesn't take a clear shot at any of the political parties or affiliations , but at politics in general and how everything is run by the rich ( although the anti-rich sentiments do get a bit tiresome by the end of the film ) . ?	1
when vaughn finally relents , hooper and brody join a crusty old shark killer named quint ( robert shaw ) on his decrepit boat , the orca , to search for the shark .	1
iron monkey succeeds as no kung fu film since drunken master 2 . at times , fighting styles , especially that of monkey himself , do devolve into the ridiculous twinkle-toed floating of films like crouching tiger , hidden dragon , director yuen wo ping eventually remembers to bring his action scenes back to earth .	1
